BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
5.833333333,0,2.87,1.4,-1.055,1.515,-0.843537415
5.833333333,0,2.87,1.4,-1.176,2.893,1.031292517
5.833333333,0,2.87,1.4,-0.792,1.638,-0.676190476
5.666666667,0,3.04,1.42,-0.786,3.63,1.728395062
5.666666667,0,3.04,1.42,-0.048,1.793,-0.539506173
5.666666667,1,3.04,1.42,-0.63,2.293,0.077777778
5.666666667,0,3.04,1.42,-0.389,1.842,-0.479012346
6.25,0,3.43,1.56,-1.682,3.348,0.912299465
6.25,0,3.43,1.56,-1.8,3.347,0.911229947
6.25,0,3.43,1.56,0.363,1.786,-0.75828877
6.25,1,3.43,1.56,-0.72,2.617,0.130481283
6.25,1,3.43,1.56,-1.08,1.906,-0.629946524
6.25,1,3.41,1.65,0.359,3.266,0.836363636
6.25,0,3.41,1.65,1.938,1.713,-0.928409091
6.25,1,3.45,1.6,-0.69,2.77,0.264864865
6.166666667,0,3.38,1.5,0.461,1.602,-0.891489362
6.25,0,4.25,1.75,1.069,1.381,-1.2952
6.25,0,4.25,1.75,-0.259,1.549,-1.1608
6,0,2.85,1.33,1.369,2.842,0.989473684
6,1,2.85,1.33,1.282,2.381,0.382894737
5.833333333,0,2.87,1.4,0.528,1.678,-0.621768707
5.666666667,1,3.04,1.42,-0.086,3.064,1.02962963
5.666666667,0,3.04,1.42,0.929,2.044,-0.22962963
6.25,0,3.43,1.56,-1.062,1.895,-0.64171123
6.25,0,3.43,1.56,0.215,1.511,-1.052406417
6.25,0,3.43,1.56,-1.495,1.869,-0.669518717
6.25,1,3.43,1.56,-0.265,2.011,-0.517647059
6.25,1,3.41,1.65,-0.326,2.762,0.263636364
6.25,1,3.41,1.65,0.498,2.1,-0.488636364
6.25,0,3.41,1.65,0.303,1.535,-1.130681818
6.25,0,3.41,1.65,3.63,1.742,-0.895454545
6.25,1,3.45,1.6,-0.812,1.737,-0.851891892
6.25,1,3.45,1.6,-0.593,1.778,-0.807567568
6.166666667,0,3.38,1.5,0.29,3.638,1.274468085
6.166666667,1,3.38,1.5,0.261,2.236,-0.217021277
6.166666667,0,3.38,1.5,1.862,2.344,-0.10212766
6.25,1,4.25,1.75,-0.874,2.2,-0.64
6.25,0,4.25,1.75,-1.558,2.885,-0.092
5.666666667,0,2.9,1.39,-0.546,0.143,-2.651655629
5.666666667,0,2.9,1.39,-1.438,3.439,1.713907285
5.666666667,0,2.9,1.39,-0.644,3.693,2.050331126
5.666666667,0,2.9,1.39,-1.109,3.749,2.124503311
5.666666667,1,3.04,1.42,0.058,2.714,0.597530864
5.666666667,0,3.04,1.42,1.165,2.454,0.27654321
5.666666667,0,3.04,1.42,-1.964,2.536,0.377777778
6.25,1,3.43,1.56,-0.96,2.243,-0.269518717
6.25,0,3.43,1.56,-1.651,1.72,-0.828877005
6,1,3.38,1.5,-0.148,2.501,0.064893617
6,0,3.38,1.5,0.981,3.291,0.905319149
6,0,3.38,1.5,1.649,2.549,0.115957447
6,0,3.38,1.5,-1.518,2.248,-0.204255319
6.333333333,1,3.52,1.71,-0.414,1.928,-0.759116022
6.333333333,0,3.52,1.71,-0.978,1.878,-0.814364641
6.333333333,0,3.52,1.71,-1.872,3.331,0.791160221
6.333333333,0,3.52,1.71,-2.141,4.22,1.773480663
5.916666667,1,3.34,1.51,-0.358,2.421,-0.004371585
5.916666667,0,3.34,1.51,-1.458,3.342,1.002185792
5.916666667,0,3.34,1.51,1.771,4.61,2.387978142
5.916666667,0,3.34,1.51,-1.089,1.598,-0.903825137
5.916666667,0,3.34,1.51,-0.926,0.61,-1.983606557
6,0,3.23,1.54,-1.091,3.254,1.028402367
6,0,3.23,1.54,-0.706,1.114,-1.504142012
6,1,3.23,1.54,-0.385,1.662,-0.855621302
6.166666667,0,3.4,1.59,-0.691,3.587,1.206629834
6.166666667,0,3.4,1.59,-0.961,1.703,-0.875138122
6.166666667,1,3.4,1.59,-0.637,1.584,-1.006629834
6.166666667,0,3.4,1.59,0.019,4.335,2.033149171
5.916666667,0,3.18,1.56,0.926,2.979,0.751851852
5.916666667,1,3.18,1.56,0.269,2.226,-0.177777778
5.916666667,0,3.18,1.56,1.005,1.615,-0.932098765
5.916666667,0,3.18,1.56,-1.141,2.26,-0.135802469
6,1,3.06,1.54,0.124,1.853,-0.588157895
6,1,3.06,1.54,-0.108,2.918,0.813157895
6.666666667,0,3.73,1.84,0.388,1.514,-1.344973545
6,1,3.1,1.51,-0.128,2.538,0.293081761
5.916666667,1,3.11,1.42,-0.361,3.018,0.89112426
5.916666667,0,3.11,1.42,-0.258,3.646,1.634319527
5.833333333,0,3.13,1.42,-0.729,1.622,-0.76374269
5.916666667,0,3.34,1.51,-1.65,2.652,0.248087432
5.916666667,0,3.34,1.51,-0.69,1.129,-1.416393443
5.916666667,0,3.34,1.51,-2.473,2.975,0.601092896
5.916666667,0,3.34,1.51,-0.538,1.137,-1.407650273
6.166666667,0,3.4,1.59,-0.897,1.678,-0.902762431
6.166666667,0,3.4,1.59,-0.614,3.927,1.582320442
5.916666667,0,3.18,1.56,-0.679,4.28,2.358024691
5.916666667,0,3.18,1.56,-1.439,2.255,-0.141975309
5.916666667,0,3.18,1.56,-1.766,1.272,-1.355555556
5.916666667,0,3.18,1.56,-0.782,1.229,-1.408641975
6,1,3.06,1.54,0.229,3.056,0.994736842
6,0,3.06,1.54,-2.062,3.784,1.952631579
6.666666667,1,3.73,1.84,0.851,2.097,-0.728042328
6.666666667,0,3.73,1.84,1.772,1.126,-1.755555556
6.666666667,0,3.73,1.84,0.508,1.133,-1.748148148
6.666666667,0,3.73,1.84,-0.834,3.273,0.516402116
6,0,3.1,1.51,0.209,1.154,-1.447798742
6,1,3.1,1.51,-0.263,1.641,-0.835220126
5.916666667,0,3.11,1.42,-0.117,1.491,-0.915976331
5.916666667,1,3.11,1.42,0.366,2.072,-0.228402367
5.916666667,0,3.11,1.42,0.687,2.367,0.120710059
5.833333333,1,3.13,1.42,-0.03,2.459,0.215204678
5.916666667,0,3.34,1.51,-1.284,1.782,-0.70273224
6,0,3.23,1.54,1.391,2.544,0.18816568
6,1,3.23,1.54,-0.604,3.28,1.059171598
6,1,3.23,1.54,0.649,1.985,-0.473372781
6.166666667,0,3.4,1.59,-0.335,-0.207,-2.985635359
5.916666667,0,3.18,1.56,-0.243,1.05,-1.62962963
5.916666667,0,3.18,1.56,-1.372,2.021,-0.430864198
5.916666667,0,3.18,1.56,0.881,1.813,-0.687654321
5.916666667,0,3.18,1.56,-1.275,3.041,0.828395062
6,0,3.06,1.54,-1.568,2.282,-0.023684211
6,1,3.06,1.54,-0.197,1.876,-0.557894737
6.666666667,1,3.73,1.84,-0.625,2.472,-0.331216931
6.666666667,1,3.73,1.84,-0.238,2.985,0.211640212
6.666666667,0,3.73,1.84,1.002,3.11,0.343915344
6,0,3.1,1.51,-1.328,1.803,-0.631446541
6.083333333,1,3.409,1.585,0.115,2.898,0.439692982
6.083333333,0,3.409,1.585,-1.638,1.597,-0.986842105
6.083333333,0,3.409,1.585,0.985,2.454,-0.047149123
6.083333333,0,3.409,1.585,0.092,1.312,-1.299342105
6.083333333,0,3.409,1.585,0.758,1.605,-0.978070175
6.333333333,0,3.67,1.7,1.161,2.471,-0.217258883
6.333333333,0,3.67,1.7,-2.06,1.594,-1.107614213
6.333333333,0,3.67,1.7,-1.156,2.061,-0.633502538
6.333333333,0,3.67,1.7,-0.341,0.856,-1.856852792
6.25,0,3.375,1.5,-1.86,1.968,-0.5008
6.25,0,3.375,1.5,-1.997,1.67,-0.818666667
6.25,0,3.584,1.59,-1.869,2.37,-0.217652959
6.25,0,3.29,1.59,-1.478,2.454,0.016470588
6.25,0,3.29,1.59,-1.244,3.386,1.112941176
6.25,1,3.29,1.59,-0.466,2.116,-0.381176471
6.25,0,3.29,1.59,-1.768,2.197,-0.285882353
6.333333333,0,3.52,1.69,1.151,1.617,-1.079781421
6.333333333,1,3.52,1.69,0.031,2.342,-0.287431694
6.333333333,0,3.52,1.69,0.472,1.379,-1.33989071
6.083333333,0,3.43,1.72,-0.995,3.722,1.341520468
6.083333333,1,3.43,1.72,0.384,2.129,-0.521637427
5.916666667,0,3.081,1.42,0.328,4.763,3.025285972
5.916666667,0,3.081,1.42,-2.277,1.997,-0.305237809
6.083333333,0,3.196,1.468,-1.454,2.346,0.016203704
6.083333333,1,3.003,1.369,0.027,2.153,-0.040391677
6.083333333,0,3.003,1.369,-1.811,1.67,-0.631578947
6.083333333,0,3.003,1.369,-1.361,2.434,0.303549572
6.333333333,1,3.52,1.69,-0.99,3.055,0.491803279
5.75,1,3.657,1.523,0.203,2.093,-0.46579194
6.416666667,0,3.978,1.764,-0.072,1.503,-1.235772358
6.416666667,1,3.978,1.764,0.421,2.267,-0.54561879
6.416666667,0,3.978,1.764,-0.154,1.345,-1.378500452
6.416666667,0,3.978,1.764,-2.1,3.167,0.267389341
