BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
5.833333333,0,3.292,1.3,0.881,0.47,-1.833333333
5.833333333,1,3.292,1.3,0.128,3.077,0.784136546
6.083333333,0,3.426,1.61,-0.64,4.196,1.848017621
6.083333333,0,3.426,1.61,-1.545,3.904,1.526431718
6,0,3.525,1.48,-1.118,1.947,-0.543276284
6,1,3.525,1.48,0.604,0.834,-1.631784841
6.083333333,1,3.72,1.45,0.685,2.705,0.105726872
6.083333333,0,3.72,1.45,2.047,1.503,-0.953303965
6.333333333,0,3.92,1.93,-1.627,3.216,0.292462312
6.333333333,1,3.92,1.93,-1.128,2.021,-0.908542714
6.333333333,0,3.92,1.93,0.072,1.605,-1.326633166
6,1,3.98,1.64,0.133,2.74,-0.05982906
6.083333333,1,3.97,1.55,0.005,3.186,0.352066116
6.333333333,0,3.38,1.5,-1.804,3.364,0.982978723
6.333333333,1,3.38,1.5,-0.686,2.447,0.007446809
6.333333333,0,3.38,1.5,-1.574,3.376,0.995744681
6.083333333,1,3.54,1.54,0.503,2.113,-0.427
6.083333333,0,3.54,1.54,1.59,1.079,-1.461
6,0,3.25,1.45,0.823,-0.063,-2.681111111
6.083333333,0,3.26,1.51,0.355,4.274,2.158857143
6.083333333,1,3.26,1.51,0.722,3.025,0.731428571
6.083333333,0,3.26,1.51,-1.756,1.346,-1.187428571
6.333333333,0,3.38,1.5,-1.281,4.633,2.332978723
6.333333333,0,3.38,1.5,1.259,0.883,-1.656382979
6.333333333,1,3.38,1.5,-0.644,3.014,0.610638298
6,0,3.543,1.665,1.095,2.88,0.293929712
6,0,3.543,1.665,0.282,-0.034,-2.809371672
6,0,3.543,1.665,1.113,3.767,1.238551651
6.333333333,0,3.38,1.5,-1.4,3.168,0.774468085
6,1,3.38,1.58,-0.571,3.189,0.787777778
6,1,3.38,1.58,-0.104,2.245,-0.261111111
6.333333333,0,3.38,1.5,-0.805,1.443,-1.060638298
6.333333333,0,3.38,1.5,0.41,0.707,-1.843617021
6.333333333,1,3.38,1.5,-0.27,2.114,-0.346808511
6.333333333,1,3.38,1.5,-0.999,3.319,0.935106383
6.166666667,0,3.23,1.5,-1.655,3.246,1.01849711
6.083333333,1,3.26,1.51,-0.517,2.701,0.361142857
6.083333333,0,3.26,1.51,2.065,1.667,-0.820571429
6.333333333,1,3.38,1.5,-0.971,2.786,0.368085106
6,1,3.36,1.5,-0.921,2.82,0.419354839
6.083333333,0,3.278,1.645,0.132,3.332,1.066135946
6,0,3.38,1.58,1.748,3.173,0.77
6,0,3.42,1.62,-1.249,3.32,0.888888889
6,0,3.42,1.62,-0.694,4.372,2.057777778
6,0,3.42,1.62,1.326,2.151,-0.41
6.333333333,0,3.19,1.51,-1.777,1.841,-0.605952381
6.333333333,1,3.19,1.51,0.291,2.027,-0.38452381
6.333333333,0,3.19,1.51,-2.001,2.194,-0.185714286
5.833333333,0,3.24,1.5,0.765,3.724,1.556321839
5.833333333,0,3.24,1.5,-0.846,3.606,1.420689655
5.833333333,1,3.24,1.5,0.161,3.033,0.762068966
6,0,3.17,1.46,-1.991,2.661,0.404678363
6,1,3.17,1.46,-0.922,2.398,0.097076023
6,0,3.17,1.46,1.025,1.819,-0.580116959
6,0,3.17,1.46,1.996,1.509,-0.942690058
6.166666667,0,3.38,1.5,1.572,2.793,0.375531915
5.75,0,3.34,1.52,-1.464,3.245,0.895604396
5.916666667,1,3.29,1.58,-0.65,2.383,-0.060818713
6.166666667,1,3.35,1.63,-0.561,2.148,-0.397674419
6.166666667,0,3.35,1.63,-0.801,1.643,-0.984883721
6.166666667,0,3.35,1.63,-1.372,2.06,-0.5
6.166666667,0,3.35,1.63,1.553,0.611,-2.184883721
6,1,3.42,1.62,0.961,2.579,0.065555556
6.333333333,0,3.19,1.51,-0.594,3.555,1.43452381
6.333333333,0,3.19,1.51,-1.315,3.211,1.025
6.333333333,0,3.19,1.51,0.85,1.633,-0.853571429
5.833333333,1,3.24,1.5,0.313,2.155,-0.247126437
6,1,3.17,1.46,0.274,2.52,0.239766082
6.083333333,0,3.44,1.66,-1.117,1.195,-1.52247191
6.083333333,0,3.44,1.66,-0.34,1.088,-1.642696629
6.083333333,0,3.44,1.66,-0.845,1.02,-1.719101124
6.083333333,1,3.44,1.66,-0.698,1.763,-0.884269663
6.083333333,0,3.44,1.66,-0.628,1.722,-0.930337079
6.083333333,0,3.2,1.397,-1.547,2.406,0.119245702
6.083333333,0,3.2,1.397,-2.204,4.077,1.972823073
6.083333333,1,3.2,1.397,-0.244,2.243,-0.06156406
6.083333333,0,3.2,1.397,-1.235,3.489,1.320576816
6.083333333,0,3.2,1.397,0.249,1.628,-0.743760399
6.166666667,1,3.24,1.5,-0.109,3.281,1.047126437
6.166666667,0,3.24,1.5,-1.793,1.848,-0.6
6.166666667,0,3.24,1.5,-0.342,4.236,2.144827586
6.166666667,1,3.24,1.5,0.38,2.435,0.074712644
5.916666667,1,3.38,1.5,-0.727,2.52,0.085106383
5.916666667,0,3.38,1.5,-1.567,2.409,-0.032978723
6,0,3.38,1.5,-0.975,1.195,-1.324468085
6,0,3.38,1.5,-0.33,1.629,-0.862765957
6.083333333,1,3.1,1.57,-0.926,2.079,-0.334640523
5.916666667,1,3.15,1.51,-0.745,2.463,0.162195122
5.916666667,1,3.15,1.51,0.489,1.715,-0.75
5.916666667,0,3.15,1.51,0.597,3.711,1.684146341
5.916666667,0,3.15,1.51,-0.344,0.872,-1.77804878
5.916666667,0,3.15,1.51,1.671,2.307,-0.02804878
6.083333333,1,3.44,1.66,-1.126,2.02,-0.595505618
6.083333333,0,3.44,1.66,-2.004,2.826,0.31011236
6.083333333,0,3.2,1.397,-1.857,3.48,1.310593455
6.083333333,0,3.2,1.397,-1.458,2.461,0.18025513
6.083333333,1,3.2,1.397,-0.352,3.022,0.802551303
6.083333333,0,3.2,1.397,1.67,1.834,-0.515252357
6.166666667,0,3.24,1.5,-1.434,3.136,0.88045977
6.166666667,0,3.24,1.5,-0.717,3.962,1.829885057
6.166666667,1,3.24,1.5,-0.703,3.263,1.026436782
6.166666667,0,3.24,1.5,-0.158,1.639,-0.840229885
5.916666667,0,3.15,1.44,1.059,3.057,0.89122807
6,1,3.38,1.5,0.773,2.125,-0.335106383
6,0,3.38,1.5,1.762,2.853,0.439361702
6,0,3.38,1.5,1.434,1.962,-0.508510638
6,0,3.38,1.5,1.687,2.822,0.406382979
6,0,3.38,1.5,1.247,2.937,0.528723404
6,0,3.31,1.63,-0.105,4.527,2.448809524
6,0,3.31,1.63,-1.151,1.688,-0.930952381
6,0,3.31,1.63,1.09,3.419,1.129761905
6,1,3.31,1.63,0.015,2.507,0.044047619
6,0,3.31,1.63,0.923,2.675,0.244047619
6.083333333,1,3.1,1.57,0.147,2.435,0.130718954
6.083333333,1,3.1,1.57,0.656,2.378,0.05620915
5.916666667,0,3.15,1.51,1.679,3.38,1.280487805
6,1,3.23,1.68,0.345,2.689,0.301935484
6,0,3.23,1.68,1.493,2.377,-0.100645161
6.083333333,0,3.44,1.66,0.479,-1.148,-4.15505618
6.083333333,1,3.2,1.397,-0.483,2.277,-0.02384914
6.083333333,0,3.2,1.397,-0.731,0.301,-2.215751525
6.25,0,3.52,1.71,-0.914,1.875,-0.817679558
6.25,0,3.52,1.71,0.247,0.646,-2.175690608
6.25,1,3.52,1.71,-0.591,1.849,-0.84640884
5.916666667,0,3.15,1.44,0.456,3.378,1.266666667
5.916666667,1,3.15,1.44,-0.414,1.943,-0.411695906
6.333333333,1,3.466,1.54,0.904,1.55,-0.989615784
6,0,3.621,1.593,1.481,1.752,-0.843195266
6,0,3.552,1.5,-1.637,2.425,-0.098440546
6,1,3.552,1.5,0.173,2.291,-0.229044834
6,0,3.552,1.5,-1.462,2.566,0.038986355
6,1,3.552,1.5,0.737,1.979,-0.533138402
6.416666667,1,3.816,1.703,0.555,1.965,-0.752011358
6.166666667,0,3.409,1.432,0.788,1.111,-1.324734446
6.083333333,1,3.682,1.748,-0.001,2.304,-0.425025853
6.083333333,1,3.682,1.748,-1.335,1.948,-0.793174767
6.25,0,3.745,1.791,0.212,1.373,-1.427840328
6.25,0,3.745,1.791,0.682,1.16,-1.645854657
6.25,1,3.745,1.791,-0.931,2.272,-0.507676561
6.25,0,3.745,1.791,0.141,1.596,-1.199590583
6.166666667,1,3.453,1.617,-0.553,2.448,-0.094771242
6.166666667,0,3.453,1.617,-1.329,2.477,-0.063180828
6.333333333,1,3.557,1.659,-0.826,2.46,-0.155953635
6.333333333,0,3.557,1.659,0.206,1.251,-1.429926238
6,0,3.466,1.54,0.241,1.331,-1.217030114
6,0,3.466,1.54,0.247,3.717,1.260643821
6,0,3.466,1.54,-1.084,2.296,-0.214953271
6,0,3.466,1.54,0.81,2.759,0.265835929
5.916666667,1,3.488,1.515,1.017,1.696,-0.816523061
6,1,3.552,1.5,-0.64,2.743,0.211500975
6.166666667,0,3.409,1.432,-0.816,1.12,-1.315629742
6.166666667,0,3.409,1.432,0.973,0.922,-1.515933232
6.166666667,0,3.409,1.432,1.515,2.012,-0.413252403
6.166666667,0,3.409,1.432,1.357,2.501,0.08143652
5.916666667,1,3.544,1.5,-0.244,1.83,-0.677103718
6.25,0,3.745,1.791,1.822,2.348,-0.42988741
6.25,0,3.745,1.791,1.33,2.968,0.204708291
6.166666667,1,3.453,1.617,-0.132,2.55,0.016339869
6.166666667,0,3.453,1.617,2.307,2.611,0.082788671
6.166666667,0,3.453,1.617,-0.143,1.381,-1.25708061
6.166666667,0,3.453,1.617,0.954,2.995,0.501089325
6,0,3.466,1.54,1.381,2.35,-0.158878505
6,1,3.466,1.54,0.831,1.949,-0.575285566
5.833333333,1,3.477,1.538,-0.92,2.808,0.309953584
5.833333333,0,3.477,1.538,0.823,1.336,-1.208354822
5.833333333,0,3.477,1.538,1.068,1.253,-1.293965962
5.833333333,1,3.477,1.538,0.782,2.722,0.221248066
6,0,3.552,1.5,-2.298,3.533,0.981481481
6,1,3.552,1.5,-0.934,1.938,-0.573099415
6,0,3.552,1.5,-1.592,3.931,1.369395712
6,0,3.465,1.5,-1.038,4,1.544529262
6.166666667,0,4.08,1.58,0.857,1.325,-1.204
6.166666667,1,4.08,1.58,0.006,2.959,0.1032
6.083333333,0,3.17,1.44,0.27,4.946,3.053179191
6,1,3.375,1.5,-0.254,3.022,0.623466667
6,0,3.375,1.5,1.496,3.077,0.682133333
6,0,3.375,1.5,1.788,2.356,-0.086933333
6,0,3.375,1.5,1.593,3.127,0.735466667
6.25,1,3.19,1.54,-0.025,3.478,1.349090909
6.083333333,0,4.08,1.58,-0.859,3.597,0.6136
6.083333333,1,4.08,1.58,-0.171,3.198,0.2944
6.083333333,0,3.35,1.59,0.486,-0.012,-2.820454545
6,0,3.375,1.5,1.254,2.111,-0.348266667
6,0,3.375,1.5,0.039,1.311,-1.2016
6,1,3.375,1.5,1.039,2.562,0.1328
6,0,3.22,1.54,-1.775,2.368,-0.014285714
6,0,3.22,1.54,1.618,1.189,-1.417857143
6,1,3.22,1.54,-0.404,1.839,-0.644047619
6,0,3.22,1.54,-0.162,1.311,-1.272619048
6,0,3.22,1.54,0.071,1.291,-1.296428571
6.083333333,0,3.17,1.44,0.528,1.256,-1.212716763
6.083333333,1,3.17,1.44,0.659,2.608,0.350289017
6.083333333,0,3.17,1.44,0.985,1.876,-0.495953757
6.083333333,1,4.08,1.58,-0.632,3.378,0.4384
6.083333333,0,4.08,1.58,-0.149,1.238,-1.2736
6.083333333,0,4.08,1.58,-1.375,1.761,-0.8552
6,1,3.375,1.5,-0.565,1.992,-0.4752
6,0,3.375,1.5,-0.47,2.531,0.099733333
6.25,1,3.19,1.54,-0.359,3.093,0.882424242
6.083333333,1,4.08,1.58,-0.592,2.822,-0.0064
6.083333333,1,3.35,1.59,-0.966,2.167,-0.344318182
6.083333333,0,3.35,1.59,0.816,1.995,-0.539772727
6,1,3.375,1.5,0.937,2.519,0.086933333
6.166666667,0,4.08,1.58,0.395,1.885,-0.756
6,0,3.22,1.54,-0.807,1.111,-1.510714286
6,0,3.22,1.54,0.335,1.226,-1.373809524
6,0,3.22,1.54,-0.713,2.105,-0.327380952
6,1,3.22,1.54,-0.665,3.025,0.767857143
6,0,3.22,1.54,-0.711,1.716,-0.79047619
6.083333333,1,3.17,1.44,0.332,2.508,0.234682081
6.083333333,0,3.17,1.44,0.859,1.421,-1.021965318
6.083333333,1,3.17,1.44,0.571,2.107,-0.228901734
6.083333333,1,4.08,1.58,-0.007,2.38,-0.36
6.083333333,0,4.08,1.58,0.348,1.235,-1.276
6,0,3.375,1.5,0.479,1.173,-1.3488
6,0,3.375,1.5,0.721,1.144,-1.379733333
6,1,3.375,1.5,0.55,2.171,-0.284266667
6.25,0,3.19,1.54,-1.315,3.091,0.88
6.25,0,3.19,1.54,-0.782,0.718,-1.996363636
6.25,0,3.19,1.54,1.002,1.265,-1.333333333
6.25,0,3.19,1.54,-0.201,1.432,-1.130909091
6.083333333,1,4.08,1.58,0.764,2.022,-0.6464
6.083333333,0,4.08,1.58,0.457,5.226,1.9168
6,0,3.375,1.5,-1.246,2.843,0.432533333
6,0,3.375,1.5,-0.526,3.717,1.3648
6.166666667,0,4.08,1.58,-1.395,4.285,1.164
6.166666667,1,4.08,1.58,-0.171,3.29,0.368
6.166666667,1,4.08,1.58,-0.81,2.541,-0.2312
6,1,3.22,1.54,0.027,2.509,0.153571429
6,0,3.22,1.54,-0.836,2.683,0.360714286
6,0,3.22,1.54,-1.608,3.419,1.236904762
6,0,3.22,1.54,-1.071,3.914,1.826190476
6.083333333,0,3.17,1.44,0.959,3.024,0.831213873
6.083333333,0,3.17,1.44,0.871,3.44,1.312138728
6.083333333,1,4.08,1.58,-0.77,2.822,-0.0064
6,0,3.375,1.5,0.886,3.408,1.0352
6,0,3.375,1.5,1.634,1.919,-0.553066667
6,0,3.375,1.5,0.635,3.89,1.549333333
6,0,3.375,1.5,-0.643,4.03,1.698666667
6.25,0,3.19,1.54,-1.334,3.474,1.344242424
6.083333333,0,4.08,1.58,2.023,2.007,-0.6584
