BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
6.083333333,1,3.54,1.54,0.977,1.803,-0.737
6.083333333,0,3.54,1.54,1.983,3.02,0.48
6.083333333,0,3.54,1.54,0.275,1.65,-0.89
6.083333333,1,3.54,1.54,0.508,2.802,0.262
6.166666667,0,3.77,1.5,-0.391,1.752,-0.777973568
6.166666667,1,3.77,1.5,-0.136,1.905,-0.643171806
6,1,3.25,1.45,0.624,2.888,0.597777778
6,0,3.25,1.45,0.331,1.41,-1.044444444
6,1,3.25,1.45,0.847,2.413,0.07
6,0,3.25,1.45,-1.261,3.267,1.018888889
6,1,3.25,0.686,0.505,2.691,0.563962559
6,1,3.25,0.686,-0.385,3.345,1.074102964
6,0,3.36,1.5,-0.906,3.498,1.148387097
5.75,1,3.34,1.52,0.216,2.119,-0.341758242
5.75,0,3.34,1.52,-0.588,3.946,1.665934066
5.916666667,0,3.29,1.58,-0.364,1.068,-1.598830409
5.916666667,0,3.29,1.58,-0.213,3.263,0.968421053
5.916666667,0,3.29,1.58,0.418,3.62,1.385964912
5.916666667,0,3.29,1.58,0.741,3.141,0.825730994
6.166666667,1,3.35,1.63,-0.637,2.059,-0.501162791
6.166666667,0,3.35,1.63,-1.765,2.248,-0.281395349
6.166666667,0,3.35,1.63,-1.057,1.427,-1.236046512
6,1,3.42,1.62,0.989,2.352,-0.186666667
6,0,3.42,1.62,1.524,2.291,-0.254444444
6,0,3.42,1.62,1.37,3.343,0.914444444
6,0,3.42,1.62,0.66,1.419,-1.223333333
6.333333333,1,3.19,1.51,-0.732,2.432,0.097619048
6.333333333,1,3.19,1.51,0.675,2.157,-0.229761905
6.333333333,0,3.19,1.51,-1.699,1.999,-0.417857143
6,0,3.17,1.46,0.627,1.349,-1.129824561
6,0,3.17,1.46,1.09,3.091,0.907602339
6.166666667,0,3.38,1.5,1.262,2.964,0.557446809
6.166666667,0,3.38,1.5,0.605,3.412,1.034042553
6.166666667,1,3.38,1.5,0.694,3.194,0.80212766
6.166666667,0,3.36,1.62,-1.01,2.261,-0.263218391
6.166666667,0,3.36,1.62,-1.2,2.138,-0.404597701
5.75,0,3.34,1.52,-0.079,3.371,1.034065934
5.75,0,3.34,1.52,1.115,3.569,1.251648352
5.75,0,3.34,1.52,0.163,3.599,1.284615385
5.75,1,3.34,1.52,0.506,2.422,-0.008791209
5.75,0,3.34,1.52,-0.183,3.661,1.352747253
5.916666667,1,3.29,1.58,0.288,2.56,0.14619883
5.916666667,0,3.29,1.58,0.429,3.684,1.460818713
5.916666667,0,3.29,1.58,-1.494,1.895,-0.631578947
6.166666667,0,3.35,1.63,1.403,3.197,0.822093023
6.166666667,0,3.35,1.63,-2.042,2.028,-0.537209302
6.166666667,0,3.35,1.63,-1.2,3.364,1.01627907
6,0,3.42,1.62,1.976,2.706,0.206666667
6,1,3.42,1.62,-0.435,2.677,0.174444444
6,0,3.42,1.62,0.558,1.082,-1.597777778
5.833333333,1,3.24,1.5,1.178,2.152,-0.250574713
5.833333333,0,3.24,1.5,1.345,2.815,0.511494253
5.833333333,0,3.24,1.5,1.561,3.323,1.095402299
6,1,3.17,1.46,0.579,2.748,0.506432749
6,0,3.17,1.46,1.369,3.059,0.870175439
6,0,3.17,1.46,1.289,2.54,0.263157895
6,0,3.17,1.46,1.204,3.063,0.874853801
6.166666667,1,3.38,1.5,-0.13,2.494,0.057446809
6.166666667,0,3.36,1.62,-1.472,2.255,-0.270114943
5.75,1,3.34,1.52,0.353,3.026,0.654945055
5.75,1,3.34,1.52,0.359,2.53,0.10989011
5.75,0,3.34,1.52,1.358,3.427,1.095604396
5.75,0,3.34,1.52,0.047,4.57,2.351648352
5.916666667,1,3.29,1.58,0.325,2.531,0.112280702
5.916666667,0,3.29,1.58,1.833,2.963,0.61754386
5.916666667,0,3.29,1.58,0.702,1.568,-1.014035088
5.916666667,0,3.29,1.58,2.581,3.7,1.479532164
6.166666667,0,3.35,1.63,-2.16,1.723,-0.891860465
6.166666667,1,3.35,1.63,-0.326,2.135,-0.412790698
6.166666667,0,3.35,1.63,0.316,3.679,1.38255814
6.166666667,0,3.35,1.63,-1.153,1.23,-1.465116279
6,1,3.42,1.62,-0.105,3.241,0.801111111
6.333333333,1,3.19,1.51,-0.113,1.913,-0.520238095
6,0,3.17,1.46,1.239,2.126,-0.221052632
6.166666667,0,3.38,1.5,-0.357,1.473,-1.028723404
6.166666667,1,3.38,1.5,0.382,2.676,0.25106383
5.75,1,3.34,1.52,-0.827,2.035,-0.434065934
5.75,0,3.34,1.52,1.866,2.768,0.371428571
5.75,0,3.34,1.52,0.141,1.389,-1.143956044
5.75,0,3.34,1.52,-1.173,3.117,0.754945055
5.916666667,1,3.29,1.58,0.556,2.011,-0.495906433
6.083333333,0,3.1,1.57,-1.203,3.266,1.216993464
6.083333333,1,3.1,1.57,-0.204,1.906,-0.560784314
6.083333333,0,3.1,1.57,-1.818,3.794,1.907189542
6.083333333,0,3.1,1.57,-0.82,1.575,-0.993464052
6.083333333,1,3.1,1.57,-0.087,1.851,-0.632679739
5.916666667,1,3.15,1.51,-0.769,2.905,0.701219512
5.916666667,1,3.15,1.51,0.366,1.853,-0.581707317
5.916666667,0,3.15,1.51,-1.972,1.442,-1.082926829
5.916666667,0,3.15,1.51,-2.537,2.188,-0.173170732
6,0,3.23,1.68,0.831,1.033,-1.83483871
6,0,3.23,1.68,0.437,1.555,-1.161290323
6,1,3.23,1.68,0.715,2.879,0.547096774
