BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
6.166666667,0,3.22,1.38,-0.791,4.207,2.072826087
6.166666667,0,3.22,1.38,-0.348,4.254,2.123913043
6.166666667,1,3.22,1.38,0.83,2.382,0.089130435
6,1,3.215,1.47,-0.346,2.885,0.621776504
6,0,3.215,1.47,0.381,3.361,1.167335244
6,0,3.215,1.47,-1.409,3.449,1.268194842
6,1,3.215,1.47,0.531,3.277,1.071060172
6.25,1,3.45,1.6,-0.899,2.608,0.08972973
6.25,1,3.45,1.6,-0.899,2.266,-0.28
6.25,0,3.45,1.6,-2.363,2.991,0.503783784
6.166666667,0,3.38,1.5,-1.164,2.068,-0.395744681
6.083333333,0,3.2,1.51,-0.035,3.681,1.569230769
6.083333333,0,3.2,1.51,0.838,2.112,-0.287573964
6.083333333,1,3.2,1.51,0.528,2.521,0.196449704
6.083333333,1,3.2,1.51,0.575,2.369,0.016568047
6.083333333,0,3.2,1.51,-1.159,2.38,0.029585799
6.083333333,1,3.17,1.49,-0.577,3.259,1.105952381
6.083333333,0,3.17,1.49,-0.766,3.855,1.81547619
6.083333333,1,3.496,1.674,-0.982,3.216,0.692645445
6.083333333,0,3.491,1.674,-1.925,3.105,0.57512383
6.333333333,0,3.38,1.782,0.772,2.408,-0.216520651
6,0,3.139,1.658,0.325,3.613,1.640108035
6,0,3.139,1.504,1.286,3.179,1.048929664
6,1,3.139,1.504,0.393,3.281,1.173700306
6,0,3.139,1.504,1.084,2.186,-0.165749235
6.083333333,0,3.16,1.47,1.119,2.473,0.186982249
6.083333333,1,3.421,1.591,-0.175,2.829,0.353005464
6.083333333,1,3.348,1.591,0.324,3.018,0.624359704
6.083333333,1,3.348,1.591,0.942,2.448,-0.024473534
6.083333333,1,3.426,1.733,-0.136,2.341,-0.281748376
6.083333333,1,3.426,1.733,0.719,3.062,0.569994093
6.083333333,0,3.426,1.733,1.043,2.992,0.48730065
6.083333333,0,3.426,1.733,1.127,2.131,-0.529828706
6.083333333,0,3.426,1.733,0.659,3.392,0.959834613
6.083333333,0,3.426,1.733,-1.565,3.244,0.784997047
6,1,3.38,1.5,-1.078,3.11,0.712765957
6,0,3.38,1.5,-1.499,3.701,1.341489362
5.916666667,0,3.25,1.52,-1.134,1.859,-0.608092486
5.916666667,1,3.25,1.52,-0.462,3.459,1.241618497
6.083333333,1,3.2,1.51,0.616,2.598,0.287573964
6.333333333,1,3.38,1.782,-0.248,2.001,-0.725907384
6.333333333,0,3.38,1.782,0.255,3.718,1.423028786
6.333333333,0,3.38,1.782,1.129,3.296,0.894868586
6.083333333,0,3.348,1.591,0.988,2.53,0.068867388
6,0,3.38,1.674,0.812,3.102,0.674091442
6,1,3.38,1.674,-0.106,2.798,0.317702227
6,1,3.38,1.674,0.829,3.06,0.624853458
6.083333333,0,3.2,1.51,-0.844,4.259,2.253254438
6.083333333,1,3.2,1.51,0.139,3.633,1.512426036
6.083333333,0,3.2,1.51,1.107,3.748,1.64852071
6.083333333,0,3.491,1.674,1.032,1.901,-0.750137589
6.083333333,0,3.491,1.674,-1.322,2.735,0.167859108
6.333333333,0,3.599,1.782,-0.011,1.846,-0.92955421
6.333333333,0,3.599,1.782,0.929,2.784,0.102916896
6.333333333,0,3.599,1.782,-0.348,3.697,1.107870116
6.333333333,1,3.599,1.782,0.345,2.961,0.297743533
6,0,3.139,1.504,1.369,1.86,-0.564525994
6,0,3.139,1.504,1.436,1.924,-0.486238532
6,1,3.139,1.504,0.731,2.15,-0.209785933
6,1,3.139,1.504,0.581,2.048,-0.334556575
6.083333333,1,3.348,1.591,-0.005,2.618,0.169038133
5.916666667,1,2.926,1.351,-0.603,3.415,1.620952381
6.083333333,1,3.2,1.51,0.292,2.518,0.192899408
6.083333333,1,3.491,1.674,0.604,3.133,0.605943864
6.083333333,0,3.491,1.674,-1.489,2.131,-0.496973032
6.083333333,0,3.491,1.674,1.673,3.201,0.680792515
6.333333333,1,3.599,1.782,0.635,2.402,-0.317556412
6.333333333,0,3.599,1.782,1.411,1.998,-0.76224546
6,0,3.139,1.504,1.235,3.501,1.442813456
6.083333333,0,3.348,1.591,-1.24,2.79,0.364826409
6.083333333,1,3.348,1.591,-0.112,2.209,-0.296528173
6.083333333,0,3.348,1.591,1.796,2.061,-0.464997154
6.083333333,1,3.348,1.591,0.299,1.831,-0.726807057
6.083333333,0,3.426,1.733,0.178,1.592,-1.166568222
6.083333333,0,3.426,1.733,-1.268,2.275,-0.35971648
6.083333333,1,3.426,1.733,-0.089,1.816,-0.901949203
6,0,3.38,1.674,-1.334,2.297,-0.269636577
6.333333333,0,3.52,1.71,1.235,3.447,0.919337017
6.333333333,0,3.52,1.71,-0.44,0.929,-1.862983425
5.75,0,3.513,1.664,1.619,2.402,-0.201730665
6.083333333,0,3.491,1.674,0.773,3.661,1.187121629
6.083333333,0,3.491,1.674,-0.029,4.343,1.937809576
6.083333333,1,3.491,1.674,-0.057,2.581,-0.001651073
6.083333333,0,3.491,1.674,0.358,1.824,-0.83489268
6.083333333,0,3.491,1.674,-0.88,1.688,-0.984589983
6.333333333,0,3.599,1.782,-0.235,1.566,-1.23775454
6.333333333,1,3.599,1.782,0.16,2.563,-0.140341222
6.333333333,0,3.599,1.782,-0.664,2.066,-0.687396808
6.333333333,0,3.599,1.782,0.223,3.339,0.713813979
6.333333333,0,3.599,1.782,0.619,4.119,1.572372042
6,0,3.139,1.504,-0.755,3.49,1.429357798
5.833333333,0,3.13,1.42,0.691,1.79,-0.567251462
5.833333333,0,3.13,1.42,-0.558,1.307,-1.132163743
5.916666667,0,3.34,1.51,-0.487,3.966,1.684153005
6,1,3.23,1.54,0.883,2.711,0.385798817
6.166666667,1,3.4,1.59,-0.688,3.029,0.590055249
5.916666667,1,3.18,1.56,-0.668,2.746,0.464197531
6,1,3.06,1.54,-0.186,2.059,-0.317105263
6,0,3.06,1.54,-1.835,1.397,-1.188157895
6,0,3.06,1.54,-1.725,2.298,-0.002631579
6,1,3.06,1.54,0.715,2.673,0.490789474
6.666666667,0,3.73,1.84,-1.871,1.805,-1.037037037
6,0,3.1,1.51,-1.141,2.371,0.083018868
6,0,3.1,1.51,1.195,2.572,0.335849057
5.833333333,0,3.13,1.42,-0.543,1.627,-0.757894737
5.916666667,0,3.34,1.51,-0.042,3.454,1.124590164
5.916666667,0,3.34,1.51,0.189,2.863,0.478688525
6,0,3.23,1.54,0.738,3.228,0.997633136
6,0,3.23,1.54,1.478,3.643,1.488757396
6.083333333,0,3.43,1.72,-0.709,4.878,2.693567251
6.083333333,0,3.43,1.72,-1.323,3.453,1.026900585
6.083333333,0,3.43,1.72,-0.756,4.438,2.178947368
6.083333333,0,3.43,1.72,-0.82,4.017,1.686549708
5.916666667,0,3.081,1.42,-1.507,3.903,1.989765202
5.916666667,1,3.081,1.42,-0.676,2.838,0.707405178
5.916666667,0,3.081,1.42,0.624,1.981,-0.324503311
6.083333333,0,3.409,1.585,1.01,2.144,-0.387061404
6.083333333,0,3.409,1.585,-1.941,2.418,-0.086622807
6.333333333,0,3.67,1.7,1.9,2.595,-0.091370558
6.333333333,0,3.67,1.7,1.21,2.077,-0.617258883
6.25,0,3.375,1.5,-0.832,1.719,-0.7664
6.25,0,3.375,1.5,-1.04,1.788,-0.6928
6.25,0,3.375,1.5,-1.437,2.726,0.307733333
6.25,0,3.29,1.59,-0.466,1.526,-1.075294118
6.25,0,3.29,1.59,-1.994,2.623,0.215294118
6.25,0,3.29,1.59,-1.627,2.431,-0.010588235
6.25,1,3.29,1.59,-0.535,2.31,-0.152941176
6.333333333,0,3.52,1.69,-1.781,2.908,0.331147541
6.333333333,0,3.52,1.69,-1.943,3.013,0.445901639
6.083333333,1,3.43,1.72,-0.081,2.684,0.12748538
5.916666667,0,3.081,1.42,-1.549,2.751,0.602649007
6.083333333,1,3.375,1.5,-0.193,2.152,-0.304533333
6.083333333,0,3.375,1.5,0.872,1.86,-0.616
6.083333333,0,3.003,1.369,1.068,0.672,-1.853121175
6.083333333,0,3.003,1.369,1.516,-0.085,-2.779681763
6.083333333,1,3.003,1.369,-0.379,3.426,1.517747858
6.25,1,3.375,1.5,0.688,2.401,-0.038933333
6.25,0,3.375,1.5,-0.653,1.32,-1.192
6.25,1,3.29,1.59,-0.075,2.236,-0.24
6.25,0,3.29,1.59,0.372,1.313,-1.325882353
6.333333333,1,3.52,1.69,0.013,2.905,0.327868852
6.333333333,1,3.52,1.69,0.531,2.813,0.227322404
6.333333333,0,3.52,1.69,1.986,1.479,-1.230601093
6.333333333,0,3.52,1.69,1.987,1.038,-1.712568306
6.333333333,0,3.52,1.69,0.273,1.65,-1.043715847
5.916666667,0,3.081,1.42,-1.475,2.307,0.068031306
5.916666667,0,3.081,1.42,1.217,2.869,0.744732089
5.916666667,1,3.081,1.42,0.461,2.527,0.332931969
5.916666667,1,3.081,1.42,0.508,2.821,0.686935581
5.916666667,0,3.081,1.42,1.051,2.07,-0.217338952
6.083333333,0,3.409,1.585,1.729,2.564,0.073464912
6.083333333,0,3.409,1.585,-0.787,3.118,0.680921053
6.083333333,0,3.003,1.369,-1.089,2.351,0.201958384
6.083333333,1,3.003,1.369,-0.054,2.444,0.315789474
6.25,0,3.375,1.5,1.52,2.488,0.053866667
6.25,1,3.375,1.5,0.689,3.189,0.8016
6.25,0,3.375,1.5,2.465,3.454,1.084266667
6.25,1,3.29,1.59,0.159,2.947,0.596470588
6.25,0,3.29,1.59,1.398,3.282,0.990588235
6.25,0,3.29,1.59,0.749,1.28,-1.364705882
6.333333333,0,3.52,1.69,0.895,1.836,-0.840437158
6.083333333,0,3.43,1.72,1.006,1.782,-0.92748538
5.916666667,0,3.081,1.42,2.007,2.665,0.49909693
5.916666667,0,3.081,1.42,2.132,2.006,-0.294400963
5.916666667,0,3.081,1.42,-0.766,3.522,1.531005418
5.916666667,0,3.081,1.42,1.771,0.68,-1.8910295
5.916666667,1,3.375,1.5,-0.24,2.695,0.274666667
5.916666667,0,3.375,1.5,-1.838,3.377,1.002133333
5.916666667,0,3.375,1.5,0.695,3.962,1.626133333
6.25,0,3.43,1.56,-0.679,1.493,-1.071657754
6.25,0,3.43,1.56,-1.747,1.52,-1.042780749
6.25,0,3.43,1.56,-1.099,1.467,-1.099465241
6.25,0,3.43,1.56,-1.35,2.323,-0.183957219
6.25,1,3.857,1.65,0.756,2.881,0.115541459
6.25,0,3.219,1.399,1.116,1.357,-1.046153846
6.25,0,3.219,1.399,-1.434,1.438,-0.957142857
