BatterHeight,PitchDescription,sz_top,sz_bot,px,pz,pz_norm
numeric,numeric,numeric,numeric,numeric,numeric,numeric
5.833333333,0,3.38,1.5,-0.528,3.658,1.295744681
5.833333333,0,3.38,1.5,0.016,4.193,1.864893617
6.333333333,1,3.92,1.93,-0.466,2.165,-0.763819095
6.333333333,0,3.92,1.93,0.726,0.27,-2.668341709
6,1,3.98,1.64,-1.088,2.527,-0.241880342
6,0,3.98,1.64,-3.101,2.816,0.005128205
6,0,3.98,1.64,-1.326,3.524,0.61025641
6.333333333,0,3.38,1.5,-1.211,1.524,-0.974468085
6.333333333,1,3.38,1.5,-0.93,2.301,-0.14787234
6.333333333,0,3.38,1.5,1.624,2.764,0.344680851
6.333333333,0,3.38,1.5,-0.352,1.443,-1.060638298
6,1,3.375,1.5,0.761,2.302,-0.144533333
6,0,3.375,1.5,-1.808,3.171,0.7824
6,0,3.38,1.58,-0.07,1.901,-0.643333333
6,0,3.38,1.58,0.297,0.607,-2.081111111
6,1,3.38,1.58,0.326,3.072,0.657777778
6,0,3.38,1.58,-1.116,3.135,0.727777778
6,0,3.38,1.58,-0.951,3.25,0.855555556
6.333333333,1,3.38,1.5,-0.499,2.408,-0.034042553
5.916666667,1,2.93,1.17,0.07,2.206,0.177272727
6.083333333,0,3.72,1.45,-0.148,1.352,-1.086343612
6.333333333,1,3.92,1.93,-0.051,2.879,-0.046231156
6.333333333,0,3.92,1.93,-1.191,2.414,-0.513567839
6,0,3.98,1.64,1.402,3.108,0.254700855
6.333333333,0,3.38,1.5,-1.008,1.704,-0.782978723
6.333333333,0,3.38,1.5,-0.17,4.489,2.179787234
6.333333333,1,3.38,1.5,-0.75,2.225,-0.228723404
6,0,3.375,1.5,1.062,3.629,1.270933333
6,0,3.375,1.5,0.494,4.164,1.8416
5.916666667,0,3.38,1.5,1.028,0.922,-1.614893617
5.916666667,0,3.38,1.5,0.611,1.362,-1.146808511
5.916666667,0,3.38,1.5,0.859,3.468,1.093617021
5.916666667,1,3.38,1.5,-0.07,2.71,0.287234043
6.333333333,0,3.38,1.5,1.198,2.286,-0.163829787
5.916666667,1,2.93,1.17,0.484,2.297,0.280681818
5.916666667,1,2.93,1.17,-0.262,2.983,1.060227273
5.916666667,0,2.93,1.17,-1.347,1.964,-0.097727273
6.083333333,0,3.72,1.45,0.312,1.849,-0.64845815
6.083333333,0,3.72,1.45,-0.899,2.144,-0.388546256
6.333333333,0,3.92,1.93,-2.015,1.778,-1.152763819
6.333333333,0,3.92,1.93,-0.588,1.686,-1.245226131
6,0,3.98,1.64,-1.648,2.527,-0.241880342
6,0,3.98,1.64,-1.796,2.599,-0.18034188
6,0,3.98,1.64,1.242,2.584,-0.193162393
6,0,3.98,1.64,-2.086,2.759,-0.043589744
6,0,3.375,1.5,0.659,3.256,0.873066667
6,0,3.375,1.5,-0.492,3.643,1.285866667
6,0,3.375,1.5,-1.29,2.169,-0.2864
6.333333333,0,3.38,1.5,-0.931,1.73,-0.755319149
6.333333333,1,3.38,1.5,0.498,3.237,0.84787234
5.916666667,0,2.93,1.17,0.001,1.84,-0.238636364
5.916666667,1,2.93,1.17,-0.662,2.889,0.953409091
5.916666667,0,2.93,1.17,-1.203,1.747,-0.344318182
5.916666667,1,2.93,1.17,-0.144,3.231,1.342045455
5.916666667,0,2.93,1.17,0.516,1.145,-1.028409091
5.916666667,1,2.93,1.17,-0.533,2.078,0.031818182
6.083333333,0,3.72,1.45,0.812,3.546,0.846696035
6.083333333,1,3.72,1.45,0.721,2.286,-0.263436123
6.083333333,0,3.72,1.45,0.562,3.681,0.965638767
6.083333333,0,3.72,1.45,1.892,2.574,-0.00969163
6.083333333,0,3.72,1.45,-0.288,3.797,1.06784141
6,1,3.98,1.64,-0.729,2.105,-0.602564103
6,1,3.98,1.64,-1.057,2.528,-0.241025641
6,0,3.98,1.64,-2.198,2.249,-0.479487179
6.333333333,1,3.38,1.5,-0.745,2.697,0.273404255
6.333333333,0,3.38,1.5,-1.531,3.957,1.613829787
6,0,3.375,1.5,1.099,2.607,0.1808
6,1,3.375,1.5,0.188,3.025,0.626666667
6,0,3.375,1.5,1.035,2.381,-0.060266667
6,0,3.375,1.5,1.98,1.327,-1.184533333
5.916666667,1,3.38,1.5,-0.686,2.023,-0.443617021
5.916666667,0,3.38,1.5,-1.423,2.079,-0.384042553
5.916666667,0,3.38,1.5,-1.51,3.274,0.887234043
5.916666667,0,3.38,1.5,0.217,1.725,-0.760638298
5.916666667,1,3.38,1.5,-0.498,2.253,-0.19893617
5.916666667,0,3.38,1.5,-1.738,3.975,1.632978723
6.333333333,0,3.38,1.5,-0.902,3.253,0.864893617
6.333333333,0,3.38,1.5,-0.452,3.931,1.586170213
6.333333333,1,3.38,1.5,-0.752,2.212,-0.242553191
6.333333333,0,3.38,1.5,-1.461,3.628,1.263829787
6.333333333,0,3.801,1.71,-0.243,1.215,-1.473457676
6.333333333,0,3.801,1.71,-0.088,3.494,0.706360593
6.333333333,0,3.801,1.71,0.916,2.929,0.165949307
6.25,0,3.209,1.421,0.422,3.121,0.901565996
6.25,0,3.209,1.421,2.25,2.574,0.289709172
6.25,1,3.43,1.56,-0.933,2.234,-0.279144385
6.25,0,3.43,1.56,-1.934,3.308,0.869518717
6.25,0,3.43,1.56,1.065,-0.62,-3.331550802
6.25,0,3.395,1.75,-2.116,1.819,-0.916109422
6.25,0,3.395,1.75,-0.182,1.302,-1.544680851
6,0,3.26,1.52,0.683,3.579,1.366666667
6,1,3.26,1.52,0.206,2.611,0.254022989
6,0,3.26,1.52,-0.299,0.632,-2.020689655
6.166666667,0,3.455,1.67,0.206,3.891,1.488515406
6.166666667,1,3.455,1.67,-0.082,2.624,0.068907563
6.166666667,0,3.529,1.45,1.104,2.129,-0.346801347
6.166666667,1,3.529,1.45,0.481,2.186,-0.291967292
6.166666667,1,3.529,1.45,-0.795,2.319,-0.164021164
6.166666667,0,3.529,1.45,-0.44,-0.451,-2.828763829
6,0,3.375,1.577,-0.192,0.801,-1.863181313
6,0,3.375,1.577,0.207,4.354,2.088987764
6,0,3.375,1.577,-0.126,3.944,1.632925473
6,0,3.375,1.577,-1.427,2.661,0.205784205
5.833333333,0,3.27,1.55,1.19,3.82,1.639534884
5.833333333,1,3.27,1.55,0.368,2.368,-0.048837209
5.833333333,0,3.27,1.55,1.117,3.2,0.918604651
6.083333333,1,3.478,1.67,0.4,2.103,-0.521017699
5.916666667,1,3.24,1.63,-0.416,3.001,0.70310559
6.5,0,3.5,1.69,-0.037,0.857,-1.920441989
6,0,3.26,1.52,-0.742,1.269,-1.288505747
6.166666667,1,3.455,1.67,0.441,2.675,0.12605042
6.166666667,0,3.455,1.67,2.061,3.009,0.500280112
6.166666667,0,3.455,1.67,-1.343,3.927,1.528851541
6.166666667,0,3.541,1.658,0.017,0.877,-1.82952735
6.166666667,1,3.541,1.658,0.447,3.038,0.46574615
6,0,3.375,1.577,0.73,1.871,-0.672969967
6,0,3.375,1.577,-0.681,0.857,-1.800889878
6,1,3.375,1.577,0.199,3.374,0.998887653
6,1,3.375,1.577,-0.93,2.267,-0.232480534
5.833333333,0,3.27,1.55,-1.251,1.558,-0.990697674
